#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
3331.62495501	5.783166890986009e-19	5.783166890986009e-19	3.174831760594e-17
3331.8259384	-5.021893652001397e-18	-5.021893652001397e-18	3.09227935452e-17
3332.02592188	-9.348840101393136e-21	-9.348840101393136e-21	3.15862754016e-17
3332.22590536	5.783166890986009e-19	5.783166890986009e-19	3.108830468668e-17
3332.42588883	9.380712072986004e-19	9.380712072986004e-19	3.220903398678002e-17
3332.62587231	5.783166890986009e-19	5.783166890986009e-19	3.088080013304001e-17
3332.82585579	9.380712072986004e-19	9.380712072986004e-19	3.187541434094999e-17
3333.02583927	9.380712072986004e-19	9.380712072986004e-19	3.096171397399999e-17
3333.22582275	5.783166890986009e-19	5.783166890986009e-19	3.062426162196e-17
3333.42580623	5.783166890986009e-19	5.783166890986009e-19	3.097798325999999e-17
3333.6257897	5.783166890986009e-19	5.783166890986009e-19	3.132238249782e-17
3333.82577318	-9.348840101393136e-21	-9.348840101393136e-21	3.2172584655e-17
3334.02575666	5.783166890986009e-19	5.783166890986009e-19	3.013614049034001e-17
3334.22574014	-9.348840101393136e-21	-9.348840101393136e-21	3.17683392628e-17
3334.42572362	-5.021893652001397e-18	-5.021893652001397e-18	3.069237258752e-17
3334.6257071	-9.348840101393136e-21	-9.348840101393136e-21	3.034153200609e-17
3334.82569057	-5.021893652001397e-18	-5.021893652001397e-18	3.130101844892001e-17
3335.02567405	-6.877747448801398e-18	-6.877747448801398e-18	3.087691692700001e-17
3335.22565753	-6.877747448801398e-18	-6.877747448801398e-18	3.084681757949001e-17
3335.42564101	-6.877747448801398e-18	-6.877747448801398e-18	3.073236993888e-17
3335.62562449	-5.021893652001397e-18	-5.021893652001397e-18	3.091400042832e-17
3335.82560797	-9.348840101393136e-21	-9.348840101393136e-21	3.138520529085999e-17
3336.02559144	-9.348840101393136e-21	-9.348840101393136e-21	3.05120198016e-17
3336.22557492	-5.021893652001397e-18	-5.021893652001397e-18	2.988717195074e-17
3336.4255584	-6.877747448801398e-18	-6.877747448801398e-18	2.957792963970002e-17
3336.62554188	-7.799609601201398e-18	-7.799609601201398e-18	2.902023944456e-17
3336.82552536	-7.799609601201398e-18	-7.799609601201398e-18	2.79861190808e-17
3337.02550884	-6.877747448801398e-18	-6.877747448801398e-18	2.914435323441e-17
3337.22549231	-7.799609601201398e-18	-7.799609601201398e-18	2.972222285141999e-17
3337.42647571	-7.799609601201398e-18	-7.799609601201398e-18	2.948030912580001e-17
3337.62645919	-7.799609601201398e-18	-7.799609601201398e-18	2.964669778679e-17
3337.82644267	-6.877747448801398e-18	-6.877747448801398e-18	2.9746266066e-17
3338.02642615	-6.877747448801398e-18	-6.877747448801398e-18	2.966237035688001e-17
3338.22640963	-5.021893652001397e-18	-5.021893652001397e-18	2.949485541899999e-17
3338.4263931	-4.335156254601398e-18	-4.335156254601398e-18	3.002682766507999e-17
3338.62637658	-4.335156254601398e-18	-4.335156254601398e-18	2.991102275321999e-17
3338.82636006	-4.865494286301395e-18	-4.865494286301395e-18	2.878973475376e-17
3339.02634354	-4.865494286301395e-18	-4.865494286301395e-18	2.8896129702e-17
3339.22632702	-4.335156254601398e-18	-4.335156254601398e-18	2.891875940975999e-17
3339.4263105	-4.335156254601398e-18	-4.335156254601398e-18	2.932587996995001e-17
3339.62629398	-4.335156254601398e-18	-4.335156254601398e-18	2.897548017294e-17
3339.82627745	-4.335156254601398e-18	-4.335156254601398e-18	2.84461178024e-17
3340.02626093	-4.316086714901398e-18	-4.316086714901398e-18	2.878669741418999e-17
3340.22624441	-4.316086714901398e-18	-4.316086714901398e-18	2.826301993004999e-17
3340.42622789	-4.316086714901398e-18	-4.316086714901398e-18	2.928545542467999e-17
3340.62621137	-4.316086714901398e-18	-4.316086714901398e-18	2.941599952321001e-17
3340.82619485	-4.316086714901398e-18	-4.316086714901398e-18	2.874995099759001e-17
3341.02617833	-4.316086714901398e-18	-4.316086714901398e-18	2.84256998217e-17
3341.22616181	-4.316086714901398e-18	-4.316086714901398e-18	2.835631510336e-17
3341.42614529	-9.348840101393136e-21	-9.348840101393136e-21	2.716294544849001e-17
3341.62612876	1.3649323912986018e-18	1.3649323912986018e-18	2.801593202928e-17
3341.82611224	1.3649323912986018e-18	1.3649323912986018e-18	2.914907065455e-17
3342.02609572	1.3649323912986018e-18	1.3649323912986018e-18	2.82440338011e-17
3342.2260792	1.9714802731986072e-18	1.9714802731986072e-18	2.716232069102e-17
3342.42606268	3.2888763181986083e-18	3.2888763181986083e-18	2.749716304245999e-17
3342.62604616	3.2888763181986083e-18	3.2888763181986083e-18	2.853763129279999e-17
3342.82602964	4.48636589639861e-18	4.48636589639861e-18	2.846848067280001e-17
3343.02701304	4.48636589639861e-18	4.48636589639861e-18	2.953574353152e-17
